# Our own wording for the fault-code help SDD's screens hold.
#
# Five tab-separated columns: the mnemonic's name, the fingerprint of the
# line the library carries, then English, Ukrainian and Russian. A library
# exported since 2026-09-12 names a screen's items, and the name is how the
# row is found; a library from before gives lines of text, and the
# fingerprint — FNV-1a over the UTF-8 bytes of the line with whitespace
# collapsed to single spaces — is how. Neither column is a sentence of SDD's
# (`ADR-0026`). What each row says is plain from its English column.
#
# The text is this project's own technical writing, describing what the car
# does. The library still decides which lines a code is given on a particular
# model and year; only the words are ours. A line with no row is shown as the
# library has it, in English, one line at a time.
	014c733d8cc15e37	General electronics control module to passenger's door ajar switch circuit: open circuit, short circuit to ground, short circuit to battery positive voltage.	Коло від загального електронного модуля до кінцевого вимикача дверей пасажира: обрив, коротке замикання на масу, коротке замикання на плюс АКБ.	Цепь от общего электронного модуля к концевому выключателю двери пассажира: обрыв, короткое замыкание на массу, короткое замыкание на плюс АКБ.
	034d8a9ab0036172	Transmission to transmission control module shift solenoid C circuit: open circuit, short circuit to battery positive voltage, short circuit to ground	Коло соленоїда перемикання C між коробкою передач і модулем керування коробкою передач: обрив, коротке замикання на плюс АКБ, коротке замикання на масу.	Цепь соленоида переключения C между коробкой передач и модулем управления коробкой передач: обрыв, короткое замыкание на плюс АКБ, короткое замыкание на массу.
	0679c28419c41895	General electronics control module to variable assist steering actuator circuit: short circuit to ground.	Коло від загального електронного модуля до приводу підсилювача керма зі змінним зусиллям: коротке замикання на масу.	Цепь от общего электронного модуля к приводу усилителя руля с переменным усилием: короткое замыкание на массу.
	0685e778c3666412	CAN open circuit fault - air suspension module to engine control module.	Обрив у шині CAN — модуль пневмопідвіски до модуля керування двигуном.	Обрыв в шине CAN — модуль пневмоподвески к модулю управления двигателем.
	073c9d9d0a07383a	Engine control module to air cleaner solenoid circuit: open circuit, short circuit, high resistance.	Коло від модуля керування двигуном до соленоїда повітряного фільтра: обрив, коротке замикання, високий опір.	Цепь от модуля управления двигателем к соленоиду воздушного фильтра: обрыв, короткое замыкание, высокое сопротивление.
	08c6df2b1fd60e4a	Traction control switch circuit fault: open circuit, short circuit to battery voltage, short circuit to ground.	Несправність кола вимикача протибуксувальної системи: обрив, коротке замикання на плюс АКБ, коротке замикання на масу.	Неисправность цепи выключателя противобуксовочной системы: обрыв, короткое замыкание на плюс АКБ, короткое замыкание на массу.
	0bdbde3f67fc737e	Transmission to engine control module output speed sensor circuits: open circuit, short circuit, high resistance	Кола датчика вихідної швидкості між коробкою передач і модулем керування двигуном: обрив, коротке замикання, високий опір.	Цепи датчика выходной скорости между коробкой передач и модулем управления двигателем: обрыв, короткое замыкание, высокое сопротивление.
	0d8092bd9b84023b	Adaptive damping control module to rear left damper solenoid circuit(s): short circuit to battery positive voltage.	Кола від модуля адаптивних амортизаторів до соленоїда заднього лівого амортизатора: коротке замикання на плюс АКБ.	Цепи от модуля адаптивных амортизаторов к соленоиду заднего левого амортизатора: короткое замыкание на плюс АКБ.
	0ee2dcd8b5215be9	General electronic control module to front right turn signal (headlamp unit) circuit: open circuit, short circuit to ground.	Коло від загального електронного модуля до переднього правого покажчика повороту (блок фари): обрив, коротке замикання на масу.	Цепь от общего электронного модуля к переднему правому указателю поворота (блок фары): обрыв, короткое замыкание на массу.
	1066ed4cb9529fe1	Front distance range sensor - alignment incorrect.	Передній датчик дистанції — неправильне вирівнювання.	Передний датчик дистанции — неправильное выравнивание.
	11fdf6141ec9a13f	Engine fuel temperature sensor to engine control module sensing circuit: high resistance, open circuit, short circuit to high voltage.	Коло вимірювання від датчика температури палива до модуля керування двигуном: високий опір, обрив, коротке замикання на високу напругу.	Цепь измерения от датчика температуры топлива к модулю управления двигателем: высокое сопротивление, обрыв, короткое замыкание на высокое напряжение.
	12d6d5efb34e77ea	Adaptive damping control module to front right damper solenoid circuit(s): short circuit to ground.	Кола від модуля адаптивних амортизаторів до соленоїда переднього правого амортизатора: коротке замикання на масу.	Цепи от модуля адаптивных амортизаторов к соленоиду переднего правого амортизатора: короткое замыкание на массу.
	13787e9bb1a999e1	General electronics control module to windshield wiper park switch circuit: open circuit, short circuit to ground, short circuit to battery positive voltage.	Коло від загального електронного модуля до вимикача паркування склоочисника: обрив, коротке замикання на масу, коротке замикання на плюс АКБ.	Цепь от общего электронного модуля к выключателю парковки стеклоочистителя: обрыв, короткое замыкание на массу, короткое замыкание на плюс АКБ.
	14eb84d3b8609b96	Engine control module identification does not match instrument cluster.	Ідентифікація модуля керування двигуном не збігається з панеллю приладів.	Идентификация модуля управления двигателем не совпадает с панелью приборов.
	17385fe17da08601	Passenger's rear door ajar switch failure.	Несправність кінцевого вимикача задніх правих дверей (з боку пасажира).	Неисправность концевого выключателя задней правой двери (со стороны пассажира).
	18a49368ae2a479c	Passenger's rear door ajar switch ground fault.	Несправність маси кінцевого вимикача задніх правих дверей (з боку пасажира).	Неисправность массы концевого выключателя задней правой двери (со стороны пассажира).
	194950d1f00cdb0f	CAN open circuit fault – transmission control module to gearshift selector module.	Обрив у шині CAN — модуль керування коробкою передач до модуля селектора передач.	Обрыв в шине CAN — модуль управления коробкой передач к модулю селектора передач.
	1c45ada4b9343d57	If no reoccurrence of diagnostic trouble code(s): hold engine > 1500 rpm for 1 minute in neutral.	Якщо коди несправностей не повторюються: тримайте двигун на оберт > 1500 об/хв протягом 1 хвилини на нейтралі.	Если коды неисправностей не повторяются: держите двигатель на оборотах > 1500 об/мин в течение 1 минуты на нейтрали.
	1cdd84eecf436f8f	Throttle motor relay coil to engine control module drive circuit: open circuit, short circuit to ground.	Коло керування котушкою реле мотора дросельної заслінки від модуля керування двигуном: обрив, коротке замикання на масу.	Цепь управления катушкой реле мотора дроссельной заслонки от модуля управления двигателем: обрыв, короткое замыкание на массу.
	1ec6f595d75131c3	Idle engine for 11 minutes.	Дайте двигуну попрацювати на холостому ходу 11 хвилин.	Дайте двигателю поработать на холостом ходу 11 минут.
	1f5b7c9eaeba0eea	General electronics control module to front right turn signal (headlamp unit) circuit: short circuit to battery positive voltage.	Коло від загального електронного модуля до переднього правого покажчика повороту (блок фари): коротке замикання на плюс АКБ.	Цепь от общего электронного модуля к переднему правому указателю поворота (блок фары): короткое замыкание на плюс АКБ.
	1f6787d6fe99a518	Transmission to transmission control module 2/4 Brake pressure solenoid circuit: open circuit, short circuit	Коло соленоїда тиску гальма 2/4 між коробкою передач і модулем керування коробкою передач: обрив, коротке замикання.	Цепь соленоида давления тормоза 2/4 между коробкой передач и модулем управления коробкой передач: обрыв, короткое замыкание.
	288f931e643387cd	If the module has been flashed or the driver's seat control module part number suffix is equal to or greater than 'G' level, and/or the rear memory module suffix on XJ range is equal to or greater than 'H' level the diagnostic trouble code can be ignored.	Якщо модуль перепрошивали, або суфікс номера деталі модуля керування сидінням водія дорівнює 'G' чи новіший, і/або суфікс заднього модуля пам'яті на моделях XJ дорівнює 'H' чи новіший — цей код несправності можна не брати до уваги.	Если модуль перепрошивали, либо суффикс номера детали модуля управления сиденьем водителя равен 'G' или новее, и/или суффикс заднего модуля памяти на моделях XJ равен 'H' или новее — этот код неисправности можно не принимать во внимание.
